id,section_id,title,situation,status,responsibility,position,created_at,updated_at
ed7c0cbe-63ed-402b-833b-9f9b559b253e,106ad841-6297-46f9-a645-6a2132928745,CF CR coproj de Maximilien,À compléter,🟡 en cours,@Léa @Max,0,2026-03-23 20:34:02.569644+00,2026-03-23 20:34:02.569644+00
fa28e317-66ad-4979-9616-c119a9a86379,133f534f-3564-4c9c-9702-3e23134ebd57,Coverplay,"Livraison en cours
  La version 5.13.0 a été déployée le 31/03 sur les stores Google
    La version est disponible pour Android
    La version est disponible sur Amazon
      La version 5.13.0+amz a été mise à disposition",🟡 en cours,@Responsable,0,2026-03-31 13:02:11.208307+00,2026-03-31 13:34:47.381516+00
c5c132d9-7c86-45a0-a733-9a0697b960c1,133f534f-3564-4c9c-9702-3e23134ebd57,MICS TV,Les ajustements avec les données sont actuellement en cours de traitement.,🔴 à faire,,1,2026-03-31 13:04:17.412847+00,2026-03-31 13:34:47.404859+00
1402c3e7-9002-4523-8d21-ff0f485edc25,133f534f-3564-4c9c-9702-3e23134ebd57,Engage SDK (Google),"La recommandation a été implémentée et la validation est en cours côté Google
  La version doit être validée
  Le système reste invisible auprès d'Amazon
  L'équipe pourrait questionner Amazon sur les raisons pour lesquelles cette fonctionnalité est en place chez Google mais pas pour le contenu personnalisé chez Amazon",🔴 à faire,,2,2026-03-31 13:13:35.921262+00,2026-03-31 13:34:47.428567+00
047219ad-063d-4577-8c76-e58958f56534,133f534f-3564-4c9c-9702-3e23134ebd57,Content Personalization (Amazon),"Reprise de lecture
  Cette fonctionnalité doit être priorisée dans le planning
  Le cadrage est en cours et doit être réalisé conjointement avec l'équipe Vega
Recommandation dans l'univers Amazon
  Cette fonctionnalité n'est pas prévue pour le moment",🔴 à faire,,3,2026-03-31 13:14:57.607546+00,2026-03-31 13:34:47.452437+00
3825f0f7-2626-4d40-a456-9db67e885290,133f534f-3564-4c9c-9702-3e23134ebd57,Live TV,"Ajout de l'authentification à faire ?
L'application ne remonte actuellement pas à Amazon l'information concernant le statut de connexion de l'utilisateur
  Si cette information est transmise, l'affichage des chaînes ne s'effectuera plus",🔴 à faire,,4,2026-03-31 13:28:39.179145+00,2026-03-31 13:34:47.474855+00
6aa0e8ce-c017-4014-aa37-ae001fc6726f,1cfd80eb-f93f-403f-b94a-8485d06295b7,MICS,"Implémentation en prod sur SMART TV
Orange >> On n'a pas de log donc la seule utilisation de MICS aujourd'hui permet de faire de la personnalisation publicitaire > donc on se demande si Orange veut accepter / reprendre le sujet côté partenariat",🔴 à faire,,0,2026-03-23 20:34:02.557287+00,2026-03-24 08:17:11.018353+00
1817b1a2-ee2e-47e1-998e-657d5f9daec0,1cfd80eb-f93f-403f-b94a-8485d06295b7,chaines Séries/Docs,"Free : Stand by
Orange :
    MEP des 3 chaines Séries, Docs, Sport le 27/01
    Utilisation du CDN FTV pour uniquement chaine Séries et Docs pour un mois avant passage via CDN ORANGE (comme ce qui avait été prévu avec Orange) > Léa relance la VF
SFR :
    connect : OK
    STB7 et 8 : à venir une fois que le sujet SSAI sera réglé côté chaîne SPORT",🟡 en cours,@Léa @Max,1,2026-03-23 20:34:02.560371+00,2026-03-23 20:35:38.751682+00
0fb8be3d-760a-44c9-b387-6dba560ed6d4,1cfd80eb-f93f-403f-b94a-8485d06295b7,JO 2026,"Deeplink page event JO à fournir pour tracker les MEA : Philips, Tivo OS, Orange
    Orange et Tivos OS > leur plateforme ne permet pas de supporter nos deeplinks
    Philips : aller checker les stats
Cf lien partagé par Max – paramètres de campagnes à valider avec la DATA",🟡 en cours,,2,2026-03-23 20:34:02.560909+00,2026-03-23 20:35:38.751682+00
38266ddd-d923-4355-92a7-884c8e03b798,1cfd80eb-f93f-403f-b94a-8485d06295b7,MICS chez les partenaires,"Implémentation en prod sur SMART TV
Orange >> On n’a pas de de log donc la seule utilisation de MICS ajd permet de faire de la personnalisation publicitaire > donc on se demande si Orange veut accepter / reprendre le sujet côté partenariat
implémentation chez les FAI - demande un Go de la part de chaque FAI. Next steps :
    Trop ambitieux de le mettre dans l’incrément 2 > plutôt incrément 3
    question : quel ID sur smart tv ?
    FAI :
        organiser un point avec le produit, Caroline Racimora pour regarder FAI par FAI ce qu'on doit envoyer comme documentation, et comment l'outil peut être utilisé selon la situation du FAI (log ou pas log), cadrage quel ID pour chaque FAI ?
        Priorité à Orange car renego en cours - reprendre le document de Benoit pour envoi à Orange asap. Orange souhaite un document précisant les finalités.
        Free : stand by mais on peut avancer en interne sur le cadrage",🔵 en analyse,@Léa @Max,3,2026-03-23 20:34:02.561474+00,2026-03-23 20:35:38.751682+00
